,Model_4,K2_OI
3,CONFIRMED,CANDIDATE
4,CONFIRMED,CANDIDATE
5,CONFIRMED,CANDIDATE
6,CONFIRMED,CANDIDATE
7,CONFIRMED,CANDIDATE
8,CONFIRMED,CANDIDATE
9,CONFIRMED,CANDIDATE
10,CONFIRMED,CANDIDATE
12,CONFIRMED,CANDIDATE
14,CONFIRMED,CANDIDATE
15,CONFIRMED,CANDIDATE
16,CONFIRMED,CANDIDATE
17,CONFIRMED,CANDIDATE
18,CONFIRMED,CANDIDATE
19,CONFIRMED,CANDIDATE
20,CONFIRMED,CANDIDATE
23,CONFIRMED,CANDIDATE
24,CONFIRMED,CANDIDATE
25,CONFIRMED,CANDIDATE
26,CONFIRMED,CANDIDATE
27,CONFIRMED,CANDIDATE
28,CONFIRMED,CANDIDATE
29,CONFIRMED,CANDIDATE
30,CONFIRMED,CANDIDATE
31,CONFIRMED,FALSE POSITIVE
32,CANDIDATE,FALSE POSITIVE
33,CONFIRMED,CANDIDATE
34,CONFIRMED,CANDIDATE
35,CONFIRMED,CANDIDATE
36,CONFIRMED,CANDIDATE
37,CONFIRMED,CANDIDATE
38,CONFIRMED,CANDIDATE
39,CONFIRMED,CANDIDATE
40,CONFIRMED,CANDIDATE
41,CONFIRMED,CANDIDATE
42,CONFIRMED,CANDIDATE
43,CONFIRMED,CANDIDATE
44,CONFIRMED,FALSE POSITIVE
45,CONFIRMED,FALSE POSITIVE
46,CONFIRMED,FALSE POSITIVE
47,CONFIRMED,FALSE POSITIVE
48,CONFIRMED,CANDIDATE
49,CONFIRMED,CANDIDATE
50,CONFIRMED,CANDIDATE
51,CONFIRMED,CANDIDATE
52,CONFIRMED,CANDIDATE
54,CONFIRMED,CANDIDATE
55,CONFIRMED,CANDIDATE
57,CONFIRMED,CANDIDATE
58,CONFIRMED,CANDIDATE
59,CONFIRMED,CANDIDATE
60,CONFIRMED,CANDIDATE
61,CONFIRMED,CANDIDATE
62,CONFIRMED,CANDIDATE
64,CONFIRMED,CANDIDATE
65,CONFIRMED,CANDIDATE
66,CONFIRMED,CANDIDATE
67,CONFIRMED,CANDIDATE
68,CONFIRMED,CANDIDATE
69,CONFIRMED,CANDIDATE
70,CONFIRMED,CANDIDATE
71,CONFIRMED,CANDIDATE
72,CONFIRMED,CANDIDATE
73,CONFIRMED,CANDIDATE
74,CONFIRMED,CANDIDATE
75,CONFIRMED,CANDIDATE
76,CONFIRMED,CANDIDATE
77,CONFIRMED,CANDIDATE
78,CONFIRMED,CANDIDATE
79,CONFIRMED,CANDIDATE
80,CONFIRMED,CANDIDATE
81,CONFIRMED,CANDIDATE
82,CONFIRMED,CANDIDATE
83,CONFIRMED,FALSE POSITIVE
84,CONFIRMED,CANDIDATE
85,CONFIRMED,CANDIDATE
86,CONFIRMED,CANDIDATE
87,CONFIRMED,CANDIDATE
88,CONFIRMED,CANDIDATE
89,CONFIRMED,CANDIDATE
90,CONFIRMED,CANDIDATE
91,CONFIRMED,FALSE POSITIVE
92,CONFIRMED,FALSE POSITIVE
93,CONFIRMED,CANDIDATE
94,CONFIRMED,CANDIDATE
95,CONFIRMED,CANDIDATE
96,CONFIRMED,CANDIDATE
97,CONFIRMED,CANDIDATE
99,CANDIDATE,CONFIRMED
101,CONFIRMED,CANDIDATE
102,CONFIRMED,CANDIDATE
103,CONFIRMED,CANDIDATE
104,CONFIRMED,CANDIDATE
105,CONFIRMED,CANDIDATE
107,CONFIRMED,CANDIDATE
108,CONFIRMED,CANDIDATE
109,CONFIRMED,CANDIDATE
110,CONFIRMED,CANDIDATE
111,CONFIRMED,CANDIDATE
112,CONFIRMED,CANDIDATE
113,CONFIRMED,CANDIDATE
114,CONFIRMED,CANDIDATE
115,CONFIRMED,CANDIDATE
