,K2_Data,K2_Model4_Merged
3,CANDIDATE,CONFIRMED
4,CANDIDATE,CONFIRMED
5,CANDIDATE,CONFIRMED
6,CANDIDATE,CONFIRMED
7,CANDIDATE,CONFIRMED
8,CANDIDATE,CONFIRMED
9,CANDIDATE,CONFIRMED
10,CANDIDATE,CONFIRMED
12,CANDIDATE,CONFIRMED
14,CANDIDATE,CONFIRMED
15,CANDIDATE,CONFIRMED
16,CANDIDATE,CONFIRMED
17,CANDIDATE,CONFIRMED
18,CANDIDATE,CONFIRMED
19,CANDIDATE,CONFIRMED
20,CANDIDATE,CONFIRMED
23,CANDIDATE,CONFIRMED
24,CANDIDATE,CONFIRMED
25,CANDIDATE,CONFIRMED
26,CANDIDATE,CONFIRMED
27,CANDIDATE,CONFIRMED
28,CANDIDATE,CONFIRMED
29,CANDIDATE,CONFIRMED
30,CANDIDATE,CONFIRMED
33,CANDIDATE,CONFIRMED
34,CANDIDATE,CONFIRMED
35,CANDIDATE,CONFIRMED
36,CANDIDATE,CONFIRMED
37,CANDIDATE,CONFIRMED
38,CANDIDATE,CONFIRMED
39,CANDIDATE,CONFIRMED
40,CANDIDATE,CONFIRMED
41,CANDIDATE,CONFIRMED
42,CANDIDATE,CONFIRMED
43,CANDIDATE,CONFIRMED
48,CANDIDATE,CONFIRMED
49,CANDIDATE,CONFIRMED
50,CANDIDATE,CONFIRMED
51,CANDIDATE,CONFIRMED
52,CANDIDATE,CONFIRMED
54,CANDIDATE,CONFIRMED
55,CANDIDATE,CONFIRMED
57,CANDIDATE,CONFIRMED
58,CANDIDATE,CONFIRMED
59,CANDIDATE,CONFIRMED
60,CANDIDATE,CONFIRMED
61,CANDIDATE,CONFIRMED
62,CANDIDATE,CONFIRMED
64,CANDIDATE,CONFIRMED
65,CANDIDATE,CONFIRMED
66,CANDIDATE,CONFIRMED
67,CANDIDATE,CONFIRMED
68,CANDIDATE,CONFIRMED
69,CANDIDATE,CONFIRMED
70,CANDIDATE,CONFIRMED
71,CANDIDATE,CONFIRMED
72,CANDIDATE,CONFIRMED
73,CANDIDATE,CONFIRMED
74,CANDIDATE,CONFIRMED
75,CANDIDATE,CONFIRMED
76,CANDIDATE,CONFIRMED
77,CANDIDATE,CONFIRMED
78,CANDIDATE,CONFIRMED
79,CANDIDATE,CONFIRMED
80,CANDIDATE,CONFIRMED
81,CANDIDATE,CONFIRMED
82,CANDIDATE,CONFIRMED
84,CANDIDATE,CONFIRMED
85,CANDIDATE,CONFIRMED
86,CANDIDATE,CONFIRMED
87,CANDIDATE,CONFIRMED
88,CANDIDATE,CONFIRMED
89,CANDIDATE,CONFIRMED
90,CANDIDATE,CONFIRMED
93,CANDIDATE,CONFIRMED
94,CANDIDATE,CONFIRMED
95,CANDIDATE,CONFIRMED
96,CANDIDATE,CONFIRMED
97,CANDIDATE,CONFIRMED
101,CANDIDATE,CONFIRMED
102,CANDIDATE,CONFIRMED
103,CANDIDATE,CONFIRMED
104,CANDIDATE,CONFIRMED
105,CANDIDATE,CONFIRMED
107,CANDIDATE,CONFIRMED
108,CANDIDATE,CONFIRMED
109,CANDIDATE,CONFIRMED
110,CANDIDATE,CONFIRMED
111,CANDIDATE,CONFIRMED
112,CANDIDATE,CONFIRMED
113,CANDIDATE,CONFIRMED
114,CANDIDATE,CONFIRMED
115,CANDIDATE,CONFIRMED
116,CANDIDATE,CONFIRMED
117,CANDIDATE,CONFIRMED
118,CANDIDATE,CONFIRMED
119,CANDIDATE,CONFIRMED
122,CANDIDATE,CONFIRMED
123,CANDIDATE,CONFIRMED
124,CANDIDATE,CONFIRMED
125,CANDIDATE,CONFIRMED
126,CANDIDATE,CONFIRMED
127,CANDIDATE,CONFIRMED
