row_id,koi_eccen,koi_teq,koi_impact,koi_incl,koi_insol,koi_count,koi_period,koi_steff,koi_smass,koi_smet,koi_slogg
0,0,793,0.146,89.66,93.59,2,9.48803557,5455,0.919,0.14,4.467
1,0,443,0.586,89.57,9.11,2,54.4183827,5455,0.919,0.14,4.467
2,0,638,0.969,88.96,39.3,1,19.89913995,5853,0.961,-0.18,4.544
3,0,1395,1.276,67.09,891.96,1,1.736952453,5805,0.836,-0.52,4.564
4,0,1406,0.701,85.41,926.16,1,2.525591777,6031,1.095,0.07,4.438
5,0,835,0.538,88.11,114.81,3,11.09432054,6046,1.053,-0.08,4.486
6,0,1160,0.762,83.72,427.65,3,4.13443512,6046,1.053,-0.08,4.486
7,0,1360,0.755,82.17,807.74,3,2.56658897,6046,1.053,-0.08,4.486
8,0,1342,1.169,60.92,767.22,1,7.36178958,6227,1.358,0,3.986
9,0,600,0.052,89.92,30.75,3,16.06864674,5031,0.801,0.16,4.485
10,0,1339,0.818,84.41,761.46,1,2.470613377,5820,0.971,-0.06,4.457
11,0,2048,0.224,87.21,4148.92,1,2.204735417,6440,1.449,0.14,4.019
12,0,1521,0.631,85.2,1264.67,1,3.522498429,6225,1.132,-0.04,4.169
13,0,1206,0.051,89.73,500.46,2,3.709214104,5833,0.974,-0.04,4.407
14,0,753,2.483,83.13,75.88,1,11.52144606,5795,0.938,-0.2,4.554
15,0,523,0.804,84.93,17.69,1,19.40393776,5043,0.657,-0.54,4.591
16,0,698,1.065,88.05,55.97,2,19.22138894,6117,1.025,-0.22,4.496
17,0,595,0.292,88.81,29.61,1,16.46983774,5152,0.741,-0.2,4.517
18,0,649,0.387,88.93,41.85,1,9.27358173,4856,0.676,-0.3,4.583
19,0,678,0.258,89.5,50.04,1,6.02930329,4537,0.761,0.21,4.648
20,0,1066,0.044,89.56,305.34,1,2.696370652,4989,0.781,0.1,4.504
21,0,919,0.092,89.62,168.99,3,5.349553819,5185,0.831,0.16,4.44
22,0,1018,0.226,88.88,253.15,3,3.94105221,5185,0.831,0.16,4.44
23,0,800,0.025,89.92,97.03,3,8.10904807,5185,0.831,0.16,4.44
24,0,297,0.9765,89.95,1.84,1,386.6030528,5543,1.103,0.44,4.081
25,0,530,0.896,87.91,18.64,4,21.67699193,4954,0.791,0.18,4.5
26,0,917,0.71,86.9,166.95,1,4.99677968,5339,0.931,0.18,4.552
27,0,1012,0.424,87.72,247.87,1,4.280963604,5644,0.928,-0.14,4.564
28,0,1452,0.86,79.38,1054.12,1,1.50635409,5714,0.926,-0.2,4.563
29,0,196,0.701,89.53,0.35,1,670.645531,5520,1.03,0.48,4.466
30,0,505,1.248,87.54,15.43,1,61.2563628,6144,1.093,0,4.402
31,0,529,0.468,89.44,18.53,1,38.3775486,5481,0.915,0.16,4.369
32,0,439,0.045,89.96,8.76,3,41.19725502,5031,0.801,0.16,4.485
33,0,823,0.105,89.68,108.3,3,6.252962249,5031,0.801,0.16,4.485
34,0,593,0.799,88.14,29.31,1,16.01308419,5015,0.785,0.1,4.499
35,0,506,0.021,89.98,15.55,2,32.62876672,5586,0.844,-0.3,4.56
36,0,359,0.606,89.61,3.92,2,91.7732862,5586,0.844,-0.3,4.56
37,0,1103,0.831,86.15,349.4,1,4.959319244,5712,0.976,0.1,4.359
38,0,1222,1.016,62.69,527.81,1,2.701287801,5550,0.889,-0.04,4.468
39,0,1133,0.312,88,389.62,1,4.49876511,6075,1.048,-0.12,4.486
40,0,730,0.723,88.27,67.03,1,19.65120951,6074,1.014,-0.12,4.391
41,0,1093,0.787,85.12,337.68,3,5.412203927,5779,0.941,-0.06,4.339
42,0,516,0.355,89.31,16.72,1,41.43958662,5468,0.93,0.22,4.367
43,0,790,0.023,89.95,91.9,1,8.35389523,5592,0.862,-0.28,4.582
44,0,1243,0.597,85.95,565.35,1,4.125543472,6174,1.162,0.1,4.417
45,0,1219,0.105,89.37,521.13,1,2.816504904,5532,0.941,0.14,4.452
46,0,430,0.812,86.45,8.11,1,33.93373447,5040,0.782,-0.24,4.628
47,0,1147,0.151,89.19,408.99,1,3.689920099,5880,1.01,-0.06,4.518
48,0,1104,0.405,87.72,351.23,3,4.431238488,5714,1.007,0.16,4.428
49,0,806,0.911,86.8,99.68,3,11.37936986,5714,1.007,0.16,4.428
50,0,489,0.602,89.28,13.49,1,26.39432897,5129,0.846,0.02,4.595
51,0,785,0.866,87.07,89.61,4,13.57078281,5854,0.951,-0.12,4.406
52,0,997,0.898,84.02,233.31,3,7.12594387,5779,0.941,-0.06,4.339
53,0,967,0.137,89.72,206.78,1,7.442652004,6108,0.981,-0.3,4.469
54,0,433,0.001,90,8.35,3,16.38489988,4126,0.633,0.04,4.661
55,0,553,0.041,89.92,22.18,3,7.8774163,4126,0.633,0.04,4.661
56,0,332,0.028,89.98,2.88,3,36.4454001,4126,0.633,0.04,4.661
57,0,1023,0.558,86.7,258.34,1,3.728732147,5497,0.907,-0.1,4.577
58,0,467,0.911,89.05,11.29,1,40.4195037,5446,0.714,-0.54,4.507
59,0,822,0.915,82.88,107.6,1,2.243380573,4149,0.578,-0.32,4.698
60,0,833,0.324,88.57,113.94,1,10.40599802,5746,0.77,-0.54,4.393
61,0,1070,0.28,88.19,311.16,2,2.337437946,5005,0.85,0.14,4.595
62,0,734,1.198,87.62,68.63,2,7.2406612,5005,0.85,0.14,4.595
63,0,1272,0.624,84.62,617.61,3,3.43591631,5779,0.941,-0.06,4.339
64,0,396,0.679,88.62,5.82,1,11.59822233,3688,0.503,0,4.79
65,0,1015,0.39,88.03,251.38,1,6.575315881,5992,0.927,-0.32,4.415
66,0,833,0.547,85.29,113.64,1,7.275040844,5485,0.986,0.21,4.556
67,0,393,0.031,89.97,5.66,2,19.27153892,4077,0.576,-0.24,4.702
68,0,488,0.628,89.22,13.43,2,10.06524317,4077,0.576,-0.24,4.702
69,0,677,0.883,86.13,49.68,1,12.3935651,5557,0.832,-0.4,4.603
70,0,531,0.852,88.27,18.77,4,43.84439721,5854,0.951,-0.12,4.406
71,0,1032,1.213,56.44,268.67,1,3.341913228,5295,0.853,-0.02,4.551
72,0,1547,1.26,58.03,1355.88,1,1.626630225,5735,0.889,-0.18,4.41
73,0,1420,0.023,89.81,960.79,2,2.711504086,6214,1.169,0.07,4.442
74,0,1025,0.012,89.95,260.58,2,7.21203748,6214,1.169,0.07,4.442
75,0,711,0.1601,89.95,60.35,1,14.1798187,5799,0.975,-0.1,4.539
76,0,751,0.022,89.95,75.44,2,8.47237911,5354,0.884,-0.08,4.587
77,0,390,0.094,89.94,5.49,2,60.4189369,5354,0.884,-0.08,4.587
78,0,753,0.55,88.17,76.15,1,12.61190435,5795,0.992,-0.02,4.508
79,0,1920,1.268,58.99,3209.29,1,1.433769925,6017,1.083,0.02,4.22
80,0,876,1.215,78.15,139.26,1,10.31872301,5927,1.05,0.07,4.409
81,0,1332,0.238,88.28,743.09,1,2.539183147,5519,0.921,0.14,4.35
82,0,812,0.838,86.84,102.87,1,6.770300385,5653,0.767,-0.84,4.656
83,0,1836,1.258,39.97,2706.26,1,0.444291966,5255,0.709,-0.72,4.678
84,0,812,0.92,85.87,102.91,1,10.181584,5988,0.885,-0.52,4.541
85,0,361,0.556,89.21,4,4,20.06036336,3950,0.502,-0.46,4.754
86,0,273,0.013,89.99,1.32,4,46.1842039,3950,0.502,-0.46,4.754
87,0,649,0.95,85.45,41.94,4,23.9800854,5854,0.951,-0.12,4.406
88,0,494,0.708,87.99,14.05,4,7.82502168,3950,0.502,-0.46,4.754
89,0,1005,0.524,87.56,241.62,1,3.895936525,5557,0.866,-0.3,4.592
90,0,536,0.4,89.26,19.45,1,22.36646466,5395,0.821,-0.34,4.615
91,0,1579,0.076,89.22,1467.41,1,1.625522174,5539,0.935,0.16,4.322
