rowid,pl_name,hostname,pl_letter,k2_name,epic_hostname,epic_candname,hd_name,hip_name,tic_id,gaia_id,default_flag,disposition,disp_refname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate,pl_nnotes,k2_campaigns,k2_campaigns_num,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec
1,BD+20 594 b,BD+20 594,b,K2-56 b,EPIC 210848071,EPIC 210848071.01,,,TIC 26123781,Gaia DR2 58200934326315136,1,CONFIRMED,Espinoza et al. 2016,1,1,0,0,Transit,2016,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,2016-10,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,41.6855,,2.578,0.23,22.2481,0.07,,,,,22.2481,0.07,Mass,,0,,,89.55,,,0,,0.049,,55.8,,,,,3.1,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5766,1.08,1.67,-0.15,[Fe/H],,4.5,,1.89,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,9.770001,9.432,9.368,,,,,,9.31,9.344,9.332,8.976,10.8644,,10.4021,11.04,4/25/2018,2017-03,4/26/2018,1,4,1,0,0,0,0,0
2,BD+20 594 b,BD+20 594,b,K2-56 b,EPIC 210848071,EPIC 210848071.01,,,TIC 26123781,Gaia DR2 58200934326315136,0,CONFIRMED,Espinoza et al. 2016,1,1,0,0,Transit,2016,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,2016-10,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.6855,0.241,2.23,0.199,16.3,0.05129,,,,,16.3,0.05129,Mass,7.89,0,,546,89.55,2457151.902,BJD-TDB,0,,,,55.8,0.02204,,,,3.1,,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,G,5766,0.93,0.96,-0.15,[Fe/H],-0.056,4.5,3.34,1.7,3.3,,-20.34,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,9.770001,9.432,9.368,,,,,,9.31,9.344,9.332,8.976,10.8644,,10.4021,11.04,4/25/2018,2016-10,7/28/2016,1,4,1,0,0,0,0,0
3,BD+20 594 b,BD+20 594,b,K2-56 b,EPIC 210848071,EPIC 210848071.01,,,TIC 26123781,Gaia DR2 58200934326315136,0,CONFIRMED,Espinoza et al. 2016,1,1,0,0,Transit,2016,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,2016-10,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,41.688644,,2.355,0.21,,,,,,,,,,,,,,89.526,2457068.529,,0,,,,54.721028,0.02259,,,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5703,0.96,0.96,-0.06,[Fe/H],,4.38,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,9.770001,9.432,9.368,,,,,,9.31,9.344,9.332,8.976,10.8644,,10.4021,11.04,4/25/2018,2018-03,2/15/2018,1,4,1,0,0,0,0,0
4,EPIC 201111557.01,EPIC 201111557,,,EPIC 201111557,EPIC 201111557.01,,,TIC 176942156,Gaia DR2 3596276829630866432,0,CANDIDATE,Livingston et al. 2018,1,0,0,0,Transit,2018,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2018-03,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2.302368,,1.313,0.12,,,,,,,,,,,,,,87.444,2457583.162,BJD,0,,,,12.619867,0.01692,,,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,4720,0.71,,-0.06,[Fe/H],,4.5,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,55.48289,286.98079,-4.22377,186.02096,73.41376,-70.2608,-21.2838,97.1795,10.2616,12.737,11.727,9.873,9.391,9.22,,,,,,9.186,9.243,9.183,8.2,11.3995,,10.7606,11.363,2/15/2018,2018-03,2/15/2018,0,10,1,0,0,0,0,0
5,EPIC 201111557.01,EPIC 201111557,,,EPIC 201111557,EPIC 201111557.01,,,TIC 176942156,Gaia DR2 3596276829630866432,1,CANDIDATE,Livingston et al. 2018,1,0,0,0,Transit,2018,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2018-03,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,2.30183,,1.12,0.1,,,,,,,,,,,,,1054,,2457583.169,BJD,0,0.42,2.268,1.9008,11.8,0.0144,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4616.52,0.76,0.73,-0.03,[M/H],-0.623,4.54,,2.3206,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,55.48289,286.98079,-4.22377,186.02096,73.41376,-70.2608,-21.2838,97.1795,10.2616,12.737,11.727,9.873,9.391,9.22,,,,,,9.186,9.243,9.183,8.2,11.3995,,10.7606,11.363,8/2/2018,2018-08,8/2/2018,0,10,1,0,0,0,0,0
6,EPIC 201126503.01,EPIC 201126503,,,EPIC 201126503,EPIC 201126503.01,,,TIC 380166702,Gaia DR2 3598754063687508480,1,CANDIDATE,Vanderburg et al. 2016,1,0,0,0,Transit,2016,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,2016-01,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,1.1947488,,4.19,0.374,,,,,,,,,,,,,,,2456810.382,BJD,0,0,0.448,1.93,,0.06005,,,,,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3919,0.57,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h43m45.26s,175.9385954,-05d52m24.09s,-5.8733592,53.16141,274.05758,-7.00239,178.61816,89.484127,39.3529,-80.3664,290.062,3.4345,20.514,19.21,15.073,14.42,14.23,,,,,,14.117,13.917,12.433,8.74,17.8892,,16.6126,17.275,12/5/2015,2016-01,12/5/2015,0,1,1,0,0,0,0,0
7,EPIC 201127519.01,EPIC 201127519,,,EPIC 201127519,EPIC 201127519.01,,,TIC 96244568,Gaia DR2 3597255188821238016,0,CANDIDATE,Livingston et al. 2018,1,0,0,0,Transit,2018,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2018-03,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,6.178369,,9.913,0.88,,,,,,,,,,,,,,88.797,2457585.551,BJD,0,,,,17.277258,0.11511,,,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5015,0.79,,0.24,[Fe/H],,4.67,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,55.20086,282.61866,-4.81927,183.58924,74.1657367,-59.6141,-44.1216,117.704,8.46751,12.787,11.733,10.014,9.569,9.43,,,,,,9.308,9.416,9.358,8.18,11.4806,,10.8612,11.558,2/15/2018,2018-03,2/15/2018,0,10,1,0,0,0,0,0
8,EPIC 201127519.01,EPIC 201127519,,,EPIC 201127519,EPIC 201127519.01,,,TIC 96244568,Gaia DR2 3597255188821238016,1,CANDIDATE,Livingston et al. 2018,1,0,0,0,Transit,2018,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2018-03,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,6.17887,,8.84,0.789,,,,,,,,,,,,,772,,2457585.547,BJD,0,0.17,1.303,2.5008,18.1,0.1058,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4719.28,0.85,0.76,0.213,[M/H],-0.492,4.46,,1.739,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,55.20086,282.61866,-4.81927,183.58924,74.1657367,-59.6141,-44.1216,117.704,8.46751,12.787,11.733,10.014,9.569,9.43,,,,,,9.308,9.416,9.358,8.18,11.4806,,10.8612,11.558,8/2/2018,2018-08,8/2/2018,0,10,1,0,0,0,0,0
9,EPIC 201147085.01,EPIC 201147085,,,EPIC 201147085,EPIC 201147085.01,,,TIC 49427200,,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.17589,,0.86,0.077,,,,,,,,,,,,,,,2456810.741,BJD,0,,0.0686,1.248,6.3,0.0254,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.31,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m36.64s,173.902664,-05d21m52.60s,-5.364612,52.69306,270.68004,-7.34504,176.54115,86.0494399,-80.31,30.9,166.5844,,18.15,16.64,12.258,11.639,11.397,,,,,,11.284,11.141,10.779,8.412,,,13.906,14.519,9/5/2019,2019-09,9/5/2019,0,1,1,0,0,0,0,0
10,EPIC 201152065.01,EPIC 201152065,,,EPIC 201152065,EPIC 201152065.01,,,TIC 173145687,Gaia DR2 3785946674230162560,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,10.6966,,1.45,0.129,,,,,,,,,,,,,,,2456817.315,BJD,0,,0.0557,3.24,21.9,0.0226,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.59,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m10.39s,173.0432884,-05d14m49.80s,-5.2471672,52.38012,269.3565,-7.57839,175.70245,114.5051284,-114.148,9.036511,212.291,4.68183,15.578,14.346,12.192,11.527,11.43,17.5486,15.439,14.0473,13.6339,13.5414,11.359,11.386,11.259,8.931,13.9562,,13.2264,13.951,9/5/2019,2019-09,9/5/2019,0,1,1,0,0,0,0,0
